island_name,food_bank_name,sub_area,service_type,operation_duration,instructions,location_text,contact,days,TEFAP,TANF,location_geopoint,description,active,marker_legend
Maui,ARC of Maui,Central Maui,Groceries,Every Monday 12-2pm except on the week of the 3rd Saturday of the month. On the 3rd Saturday distributions are 10am-12pm.,Please call to request food and arrange pick-up,"140 N. Market St, Wailuku",808-242-5781 x216,"monday,saturday",unknown,unknown,"20.8899619,-156.5026247",,yes,grocery
Maui,Calvary Chapel Central Maui,Central Maui,Groceries,Monday-Friday 9am - 10:30am ,"Call Richard (Mon-Fri only) to request and arrange a pick up for food. If no answer, please leave your name and phone number. Mobile delivery in the Wailuku area. No home deliveries",Wailuku,808-242-2887,"monday,tuesday,wednesday,thursday,friday,saturday",unknown,unknown,"20.8879569,-156.5023327",,yes,grocery
Maui,Christ the King Church Maui,Central Maui,Groceries,Every 2nd & 4th Friday of the month 12pm-1:30pm,"Drive thru, please remain in your vehicle with your trunk open.","20 West Wakea Avenue, Kahului",808-727-2336,friday,unknown,unknown,"20.8850399,-156.4650489",,yes,grocery
Maui,Compassion in Action (Faith in Jesus Church),Central Maui,Groceries,Open Tues-Saturday 9am-12pm,Ring bell outside main door in front of church,"432 Waiehu Beach Rd., Wailuku",808-856-1524,"tuesday,wedneday,thursday,friday",unknown,unknown,"20.9062678,-156.485657",,yes,grocery
Maui,Good Shepherd Episcopal Church,Central Maui,Prepared Meals,Every Sunday 12:30pm - 1:30pm,First come first served. (office closed on Sundays),"2140 Main Street, Wailuku (in the back of parish hall)",808-244-4656,sunday,unknown,unknown,"20.888030580787166,-156.5025447250091",,yes,meals
Maui,Iao United Church of Christ,Central Maui,Groceries,Monday 11 am - 3 pm (closed on holidays),First come first served,"2371 W. Vineyard St., Wailuku",808-446-7537,monday,unknown,unknown,"20.8864357,-156.5074449",,yes,grocery
Maui,In His House of Restoration,Central Maui,Groceries,Monday - Friday 9am-4pm,,"63 La'a Street, Kahului",808-268-1204,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"20.8669969,-156.4980695",,yes,grocery
Maui,"Hale Makana O Waiale 
(Ka Hale A Ke Ola)",Central Maui,Groceries,Last Thursday of the month 3pm - while supplies last,Located at the community hall parking lot accross the street from McDonalds.,"195 Waimaluhia Ln., Wailuku",808-243-9500,thursday,unknown,unknown,"20.8723983,-156.4995919",,yes,grocery
Maui,Kahului Baptist Church,Central Maui,Groceries,Monday-Friday 8:30am-11:30am,Call the office and talk to Lynn before coming in.,"309 S. Puunene Ave., Kahului",808-877-0795,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"20.883364,-156.4631891",,yes,grocery
Maui,Kahului 7th Day Adventist,Central Maui,Groceries,Every 4th Tuesday of the month 5pm-6pm (excluding Holidays),Please call ahead to confirm.,"261 S. Pu'unene Ave., Kahului",860-922-0888,tuesday,unknown,unknown,"20.8893016,-156.4728725",,yes,grocery
Maui,King's Cathedral,Central Maui,Groceries,"July 11th & 25th, drive-thru 9:00am - while supplies last",,"777 Maui Veterans Hwy., Kahului",808-871-7311,thursday,unknown,unknown,"20.8760751,-156.4591678",,yes,grocery
Maui,King's Transformation,Central Maui,Prepared Meals,Mondays 6:45pm - Dinner,,"777 Maui Veterans Hwy., Kahului",808-385-3583,monday,unknown,unknown,"20.875979967732896,-156.45892431668545",,yes,meals
Maui,Living Way Church Maui,Central Maui,Prepared Meals,Mondays and Thursdays 9am - 12pm,"If afterhours, please request to speak with Pastor Greg","399 N Market Street, Wailuku",808-344-3679,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"20.8937174,-156.505024",,yes,meals
Maui,Living Way Church Maui,Central Maui,Groceries,Mondays 9-12noon,"If afterhours, please request to speak with Pastor Greg","399 N Market Street, Wailuku",808-344-3679,monday,unknown,unknown,"20.8937174,-156.505024",,yes,grocery
Maui,Maui Family YMCA,Central Maui,Groceries,Every 3rd Friday of the month 9:00 AM – 11:30 AM (while supplies last),"First Come, First Serve Basis","250 Kanaloa Ave, Kahului",808-242-9007,friday,unknown,unknown,"20.8962562,-156.4858344",,yes,grocery
Maui,Pentecostal Missionary Church,Central Maui,Groceries,Every Sunday 12pm - 2pm,,"2105 Main St, Wailuku",808-385-5678,sunday,unknown,unknown,"20.887369175398753,-156.5029707093321",,yes,grocery
Maui,Salvation Army Kahului,Central Maui,Groceries,"Every Wednesday 9am-4pm 
and as needed for emergency food assistance","Please call to request an emergency food box. Required for application: Current legal ID, Proof of Residency and Income.","45 Kamehameha Ave., Kahului",808-871-6270,wednesday,unknown,unknown,"20.8893016,-156.4728725",,yes,grocery
Maui,Salvation Army Homeless Outreach,Central Maui,Prepared Meals,Tuesday-Wednesday-Thursday,Please call for meal locations and a schedule,"45 Kamehameha Ave., Kahului",808-877-3914,"tuesday,wednesday,thursday",unknown,unknown,"20.88884320736025,-156.46608037065062",,yes,meals
Maui,UH Maui,Central Maui,Groceries,Last Wednesday of the month 3pm-5pm - while supplies last,Located near the Harbor Lights fenced gate (near swap meet area),"310 W Kaahumanu Ave, Kahului",808-243-9500,wednesday,unknown,unknown,"20.8903364,-156.4794948",,yes,grocery
Maui,Waihe'e Protestant Church,Central Maui,Groceries,Every Wednesday 11am - 2pm,,"2101 Kahekili Hwy., Wailuku",719-342-2233,wednesday,unknown,unknown,"20.93355847763927,-156.51370188658578",,yes,grocery
Maui,Wailuku Union Church Pantry,Central Maui,Groceries,Every Saturday from 8:30am - 11:00am,ID required,"327 South High Street, Wailuku",808-244-9177,saturday,unknown,unknown,"20.8842218,-156.5051423",,yes,grocery
Maui,Grace Church,Upcountry Maui,Groceries,"Every 3rd Wednesday of the month, 11:30am-12:30pm",By reservation. Please call to be on the list for pick up. Drive through distribution.,"A'apueo Parkway., Pukalani (across Kamehameha Schools entry)",808-572-8384,"wednesday,appointment",unknown,unknown,"20.82134148804337,-156.3395926074122",,yes,grocery
Maui,LDS Pukalani/Makawao Ward,Upcountry Maui,Groceries,"4th Saturday of each month, 9-11am",Drive through distribution,"3356 Kihapai Place, Pukalani",808-264-0358,saturday,unknown,unknown,"20.8367885,-156.3442753",,yes,grocery
Maui,St. Joseph Church,Upcountry Maui,Groceries,Every 3rd Thursday 8-10am,Drive through by the thrift shop,"1294 Makawao Ave., Makawao",808-572-7652,thursday,unknown,unknown,"20.855876060967244,-156.30861665432363",,yes,grocery
Maui,St. John Episcopal Church,Upcountry Maui,Groceries,"Pantry on Fridays 10:30am - 1pm,
",Call to request and arrange pick-up ahead of time,"8992 Kula Hwy., Kula",808-878-1485,friday,unknown,unknown,"20.70754541745378,-156.35419727376484",,yes,grocery
Maui,St. John Episcopal Church,Upcountry Maui,Prepared Meals,Dinner on last Friday of the month 5-6pm,Call to request and arrange pick-up ahead of time,"8992 Kula Hwy., Kula",808-878-1485,saturday,unknown,unknown,"20.70754541745378,-156.35419727376484",,yes,meals
Maui,Upcountry Strong,Upcountry Maui,Groceries,"June 1st, 9:00am-11:00am
SERVICES PAUSED",Drive through distribution. Pre-registration linked here: https://www.upcountrystrong.org/distributions,"Oskie Rice Arena, Olinda Rd., Makawao",808-298-9257,friday,unknown,unknown,"20.856217,-156.3166528",,yes,grocery
Maui,Hope Chapel North Shore,North Maui,Groceries,Every Friday 9-11am,,"810 Haiku Rd, Haiku (Cannery)",808-575-2650,friday,unknown,unknown,"20.905776,-156.3225107",,yes,grocery
Maui,Waipuna Chapel Outreach,North Maui,Groceries,Every Monday 9-10am while supplies last,,"134 Hana Hwy, Paia, HI 96779 (Paia Public Parking Lot)",808-280-8480,monday,unknown,unknown,"20.915033264303634,-156.38240151116122",,yes,grocery
Maui,Youth With A Mission,North Maui,Groceries,Monday through Friday 9am - 2pm,"Call to request and arrange pick up, Monday through Friday","375 W Kuiaha Rd, Haiku",808-491-6669,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"20.920504300535526,-156.30785732885454",,yes,grocery
Maui,Hale Hulu Mamo,East Maui,Groceries,Monday - Friday 10am-12pm,Please call ahead,"5101 Uakea Road Bldg G, Hana",808-248-8833,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"20.753441442172377,-155.98406843840934",,yes,grocery
Maui,Ohana Makamae,East Maui,Groceries,Every 2nd and 4th Thursday of the month 9am-11am (call for urgent requests for food),Drive up to the back of the building and stay in your car. Food will be brought out to you.,"39 Keanini Street, Hana",808-248-8538,"thursday,appointment",unknown,unknown,"20.756306,-155.9870512",,yes,grocery
Maui,Calvary Chapel South Maui Pantry,South Maui,Groceries,Monday - Thursday 9am-2pm,Please check in upstairs at the church main office.,"320 Ohukai Rd Ste. 420, Kihei",808-280-3905,"monday,tuesday,wednesday,thursday",unknown,unknown,"20.773887,-156.450867",,yes,grocery
Maui,Hale Kau Kau,South Maui,Prepared Meals,"Mon-Fri 5-6pm 
Sat-Sun 4:30-5:30pm","All are welcome, no questions asked","St. Theresa Church 
25 W. Lipoa St., Kihei",808-875-8754,"monday,tuesday,wednesday,thursday,friday,saturday,sunday",unknown,unknown,"20.7469521,-156.4554877",,yes,meals
Maui,Keolahou Church,South Maui,Groceries,Every Friday 9am - 10am,,"177 S. Kihei Rd., Kihei",808-879-4693,friday,unknown,unknown,"20.77908019703561,-156.46083575802254",,yes,grocery
Maui,Da Market,West Maui,Groceries,"Monday through Friday 9am - 3pm 
Closed major Holidays",For individuals impacted by the fires. Walk-ins welcome.,"48 Ulupono St. #101, Lahaina",808-866-5260,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"20.884849335347635,-156.67688925648892",,yes,grocery
Maui,Napili Noho,West Maui,Disaster Relief,"Mon, Tues, Thurs-Sat 10am - 4pm, Fri 10am-6pm",,"50 Maiha St., Lahaina",,"monday,tuesday,thursday,friday,saturday",unknown,unknown,"20.9873438,-156.6609872",,yes,emergency
Maui,Pohaku Park,West Maui,Disaster Relief,By appointments only,,"4085 Lower Honoapiilani Rd, Lahaina, HI 96761",,appointment,unknown,unknown,"20.9678365,-156.6811048",,yes,emergency
Lanai,Maui Economic Opportunity (MEO) Lanai,Lanai City,Groceries,Monday - Friday 8:00 am to 4:30 pm,Please call a head of time,"1144 Ilima Avenue, Lanai",808-565-6665,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"20.82142385985968,-156.91741498060216",,yes,grocery
Lanai,Sacred Hearts Lanai Food Pantry,Lanai City,Groceries,Every 3rd Friday of the month 3pm - 5pm,Please wait in line outside pantry doors to be served.,"815 Fraser Avenue, Lanai",808-565-6837,friday,unknown,unknown,"20.823919159158063,-156.9210135163513",,yes,grocery
Molokai,Child and Family Service,Molokai,Groceries,Every third Thursday of the month at 10:00-12:00. Monday-Friday 8am-4pm,Please call ahead to confirm.,"20A Ala Malama street, Kaunakakai",808-553-5529,"monday,tuesday,wednesday,thursday,friday,appointment",unknown,unknown,"21.089656840939,-157.02215774819598",,yes,grocery
Molokai,Grace Episcopal Church Pantry,Molokai,Groceries,"Every third Thursday & Friday of every month, Thursday 12:00-2:00pm; Friday 9:00-11:00am",Contact Coordinator Mahina (808)658-1169; or Kanani (808)658-1990,"2210 Farington Ave, Ho'olehua",808-658-1169,"thursday,friday",unknown,unknown,"21.163936082346655,-157.05193065493145",,yes,grocery
Molokai,Ka Hale Pomaika'i,Molokai,Groceries,"Tuesday, Wednesday, Thursday","By reservation only, please call first","7533 Kamehameha V Hwy., Ualapue",808-558-8480,"tuesday,wedneday,thursday",unknown,unknown,"21.0853693,-157.0129416",,yes,grocery
Molokai,King's Chapel Pantry,Molokai,Groceries,"Every 3rd Thursday of the month 1pm, and as needed for emergency food assistance","By reservation only, please call first","Kamehameha V Hwy & Oki Pl, Kaunakakai",808-553-5540,"thursday,appointment",unknown,unknown,"21.087275311419774,-157.01836958213488",,yes,grocery
Molokai,Maui Economic Opportunity (MEO) Molokai,Molokai,Groceries,"Every 3rd Thursday of the month 11:30 am,
Monday-Friday 7:45 am - 4:30 pm",,380 Kolapa Place Kaunakakai,808-553-3216,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"21.0886472,-157.0127412",,yes,grocery
Molokai,Molokai Baptist Church,Molokai,Groceries,"Tuesday, Wednesday, Friday 8am-12pm",,"495 Puupeelua Ave., Hoolehua",808-567-6689,"tuesday,wedneday,friday",unknown,unknown,"21.1636736,-157.0704484",,yes,grocery
Molokai,Molokai Community Health Center,Molokai,Groceries,"Monday-Friday, 8am - 3pm",Building 10 (kitchen),"30 Oki Place, Kaunakakai",808-653-6379,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"21.0860191,-157.0192094",,yes,grocery
Molokai,St. Damien of Molokai Parish,Molokai,Groceries,Every 3rd Friday 8am-10am (drive thru distribution),Walk-ins welcome for emergency food,"115 Ala Malama Ave., Kaunakakai",808-553-5220,friday,unknown,unknown,"21.091129416298067,-157.01997142871602",,yes,grocery
Molokai,Salvation Army Molokai,Molokai,Groceries,"Every 3rd Thursday 3:00 pm - 6:00 pm 
Every 3rd Friday 10:00 am - 1: 00 pm, 
and as needed for emergency food assistance",Please call to request food and arrange delivery. Leave a message if no answer.,Mobile Pantry serves Ho'olehua area,808-213-5674,"thursday,friday,appointment",unknown,unknown,"21.1443935,-157.0226297",,yes,grocery
Molokai,Sustainable Molokai,Molokai,Groceries,Every Tuesday 10am - 2pm,,"200 Maunaloa Hwy., Maunaloa",808-336-0910,tuesday,unknown,unknown,"21.0900063,-157.0219034",,yes,grocery
Molokai,Waialua Congregational Church,Molokai,Groceries,"Every 3rd Thursday of the month 3-5 pm, 
and as needed for emergency food assistance",Call to request food as needed,10417 Kamehameha V Hwy.,808-558-8143,"thursday,appointment",unknown,unknown,"21.098484,-156.757175",,yes,grocery
Kauai,Anahola Beach Park,Anahola,Food Pantry,Wednesday 10:30 a.m. until pau,,Anahola Beach Park (across entrance),808-826-6481,wednesday,unknown,unknown,"22.1457356,-159.300134",,yes,pantry
Kauai,ʻEleʻele Baptist Church,ʻEleʻele,Food Pantry,Second Saturday (drive through) 7:30-8:30 a.m.,,"339 Mehana Rd., ʻEleʻele, HI 96705",808-332-5906,saturday,unknown,unknown,"21.9068501,-159.5800367",,yes,pantry
Kauai,St. Wiliam Church,Hanalei,Food Pantry,Thursday 4-5 p.m.,,"5292-A Kuhio Hwy., Hanalei, HI 96714",808-346-2850,thursday,unknown,unknown,"39.1075761,-84.5863459",,yes,pantry
Kauai,Hanapēpē Salvation Army,Hanapēpē,Food Pantry,"Monday 5-6 p.m. 
Wednesday 11 a.m. - Noon 
Friday 11 a.m. - Noon",,"4465 Puolo Rd., Hanapēpē, HI 96716",808-335-5441,"monday,wednesday,friday",unknown,unknown,"21.907008738490205,-159.5930674071513",,yes,pantry
Kauai,Hanapēpē Salvation Army,Hanapēpē,Emergency Food Pantry,(Call for emergency food),(Call for emergency food),"4465 Puolo Rd., Hanapēpē, HI 96717",808-335-5441,appointment,unknown,unknown,"21.907008738490205,-159.5930674071513",,yes,emergency
Kauai,Holy Cross Church,Kalāheo,Food Pantry,First Friday 4-5 p.m.,,"2-2370 Kaumualiʻi Hwy., Kalāheo, HI 96741",808-332-8011,friday,unknown,unknown,"21.924984109779604,-159.5291170643274",,yes,meals
Kauai,ʻOhana Christian Fellowship,Kapaʻa,Food Pantry,Last Saturday of the Month 1-3 p.m.,,"4531 Pouli St., Kapaʻa, HI 96746",,saturday,unknown,unknown,"22.060319916028632,-159.323177379125",,yes,pantry
Kauai,Hale Hoʻomalu,Kapaʻa,Food Pantry,"Wednesday Noon - 3 p.m. 
Thursday 3:30-5:45 p.m.",,"4-1112 Kuhio Hwy., Kapaʻa, HI 9674",808-821-2520,"wednesday,thursday",unknown,unknown,"22.06926802479865,-159.31914794920064",,yes,pantry
Kauai,"Hoʻomana Thrift Store
",Kapaʻa,Food Pantry,"Every Friday 2-5 p.m.
",,"4531 Kuamoʻo Rd., HI 96746",808-346-6561,friday,unknown,unknown,"22.047290516103914,-159.33662866758206",,yes,pantry
Kauai,St. Catherine Parish (K007),Kapaʻa,Food Pantry,"Every Saturday 11:30 a.m. - 1 p.m.
",,"5021 Kawaihau Rd., Kapaʻa, HI 96747",808-822-7900,saturday,unknown,unknown,"22.09087588991097,-159.3175367109167",,yes,pantry
Kauai,Kapaʻa Missionary Church,Kapaʻa,Food Pantry,Every Saturday 4:30-5:30 p.m.,,"4-758 Kuhio Hwy, Kapaʻa, HI 96746",808-822-5594,sunday,unknown,unknown,"22.060045809931836,-159.3218130352089",,yes,pantry
Kauai,"Westside Christian Center - Assembly
of God",Kekaha,Food Pantry,Fourth Thursday 10 a.m. until pau,,"8041 Kekaha Rd., Kekaha, HI 96752",808-634-7040,thursday,unknown,unknown,"21.973971407342475,-159.71740807612838",,yes,pantry
Kauai,Anaina Hou,Kīlauea,Food Pantry,Every Saturday 12:30-2 p.m.,,"5-2723 Kuhio Hwy., Kīlauea, HI 96754",970-618-8889,saturday,unknown,unknown,"22.210965450842842,-159.4160610738552",,yes,pantry
Kauai,St. Raphael's Church,Kōloa,Food Pantry,Third Thursday 4:30-6 p.m.,,"3011 Hapa Rd., Kōloa, HI 96756",,thursday,unknown,unknown,"21.894103146501834,-159.45710087796002",,yes,pantry
Kauai,St. Michael's Church,Līhuʻe,Food Pantry,First and Third Wednesday 9-10 a.m.,,"Vidinha Stadium, Hoʻolako St., Līhuʻe, HI 96766",417-282-5085,wednesday,unknown,unknown,"21.972668186467,-159.35565494824198",,yes,pantry
